Official Number,Pokemon Name,Form
10001,Deoxys,Attack Forme
10002,Deoxys,Defense Forme
10003,Deoxys,Speed Forme
10004,Wormadam,Sandy Cloak
10005,Wormadam,Trash Cloak
10006,Shaymin,Sky Forme
10007,Giratina,Origin Forme
10008,Rotom,Heat Rotom
10009,Rotom,Wash Rotom
10010,Rotom,Frost Rotom
10011,Rotom,Fan Rotom
10012,Rotom,Mow Rotom
10013,Castform,Sunny Form
10014,Castform,Rainy Form
10015,Castform,Snowy Form
10016,Basculin,Blue-Striped Form
10017,Darmanitan,Zen Mode
10018,Meloetta,Pirouette Forme
10019,Tornadus,Therian Forme
10020,Thundurus,Therian Forme
10021,Landorus,Therian Forme
10022,Kyurem,Black Kyurem
10023,Kyurem,White Kyurem
10024,Keldeo,Resolute Form
10025,Meowstic,Female
10026,Aegislash,Blade Forme
10027,Pumpkaboo,Small Size
10028,Pumpkaboo,Large Size
10029,Pumpkaboo,Super Size
10030,Gourgeist,Small Size
10031,Gourgeist,Large Size
10032,Gourgeist,Super Size
10033,Venusaur,Mega Venusaur
10034,Charizard,Mega Charizard X
10035,Charizard,Mega Charizard Y
10036,Blastoise,Mega Blastoise
10037,Alakazam,Mega Alakazam
10038,Gengar,Mega Gengar
10039,Kangaskhan,Mega Kangaskhan
10040,Pinsir,Mega Pinsir
10041,Gyarados,Mega Gyarados
10042,Aerodactyl,Mega Aerodactyl
10043,Mewtwo,Mega Mewtwo X
10044,Mewtwo,Mega Mewtwo Y
10045,Ampharos,Mega Ampharos
10046,Scizor,Mega Scizor
10047,Heracross,Mega Heracross
10048,Houndoom,Mega Houndoom
10049,Tyranitar,Mega Tyranitar
10050,Blaziken,Mega Blaziken
10051,Gardevoir,Mega Gardevoir
10052,Mawile,Mega Mawile
10053,Aggron,Mega Aggron
10054,Medicham,Mega Medicham
10055,Manectric,Mega Manectric
10056,Banette,Mega Banette
10057,Absol,Mega Absol
10058,Garchomp,Mega Garchomp
10059,Lucario,Mega Lucario
10060,Abomasnow,Mega Abomasnow
10061,Floette,Eternal Flower Forme
10062,Latias,Mega Latias
10063,Latios,Mega Latios
10064,Swampert,Mega Swampert
10065,Sceptile,Mega Sceptile
10066,Sableye,Mega Sableye
